Line,X,Y,Ch1,Ch2,Ch3,Ch4
Livs0125p_02,287629.36,2476409.88,-5.91,-3.19,-1.32,-0.61
Livs0125p_02,287629.24,2476409.89,-5.8,-3.1,-1.32,-0.44
Livs0125p_02,287629.13,2476409.9,-5.82,-3.03,-1.33,-0.43
Livs0125p_02,287629.01,2476409.9,-5.63,-3.01,-1.4,-0.44
Livs0125p_02,287628.9,2476409.91,-5.73,-3.19,-1.5,-0.61
Livs0125p_02,287628.78,2476409.92,-5.47,-3.03,-1.41,-0.52
Livs0125p_02,287628.67,2476409.92,-4.84,-2.84,-1.22,-0.35
Livs0125p_02,287628.55,2476409.93,-4.76,-2.86,-1.33,-0.62
Livs0125p_02,287628.44,2476409.94,-5.03,-2.94,-1.24,-0.78
Livs0125p_02,287628.32,2476409.95,-5.01,-3.03,-1.41,-0.61
Livs0125p_02,287628.2,2476409.95,-5.18,-2.76,-1.23,-0.53
Livs0125p_02,287628.08,2476409.96,-5.09,-2.67,-1.05,-0.42
Livs0125p_02,287627.97,2476409.97,-5.28,-2.67,-0.88,-0.35
Livs0125p_02,287627.85,2476409.97,-5.46,-2.66,-0.96,-0.34
Livs0125p_02,287627.73,2476409.98,-5.63,-2.67,-1.06,-0.35
Livs0125p_02,287627.61,2476409.99,-5.62,-2.58,-1.06,-0.52
Livs0125p_02,287627.5,2476409.99,-5.52,-2.67,-1.33,-0.61
Livs0125p_02,287627.38,2476410,-5.53,-2.84,-1.5,-0.79
Livs0125p_02,287627.27,2476410.01,-5.71,-3.11,-1.51,-0.78
Livs0125p_02,287627.16,2476410.01,-5.78,-3.1,-1.59,-0.95
Livs0125p_02,287627.05,2476410.02,-5.71,-3.21,-1.5,-0.96
Livs0125p_02,287626.94,2476410.02,-5.35,-3.2,-1.41,-0.87
Livs0125p_02,287626.83,2476410.03,-5.17,-3.11,-1.06,-0.79
Livs0125p_02,287626.72,2476410.03,-4.88,-2.84,-1.06,-0.79
Livs0125p_02,287626.61,2476410.04,-5.07,-2.86,-0.96,-0.6
Livs0125p_02,287626.5,2476410.04,-4.97,-2.75,-1.06,-0.51
Livs0125p_02,287626.39,2476410.05,-5.32,-3.02,-1.24,-0.62
Livs0125p_02,287626.29,2476410.05,-5.32,-3.03,-1.4,-0.62
Livs0125p_02,287626.17,2476410.06,-5.14,-2.77,-1.22,-0.6
Livs0125p_02,287626.06,2476410.06,-5.04,-2.76,-1.15,-0.52
Livs0125p_02,287625.95,2476410.06,-5.49,-2.94,-1.41,-0.61
Livs0125p_02,287625.83,2476410.07,-5.57,-3.03,-1.59,-0.69
Livs0125p_02,287625.72,2476410.07,-5.3,-2.86,-1.49,-0.78
